AGE,INCOME,MARRIED,GENDER,CAR_USE,CAR_VALUE,CAR_TYPE,PREV_CLAIMS_AMOUNT,PREV_CLAIMS_COUNT,REVOKED,POINTS,CAR_AGE,TARGET_CLAIM_MADE
60.0,67349.0,0,1,1,14230.0,0,4461.0,2,0,3,18.0,0
43.0,91449.0,0,1,0,14940.0,0,0.0,0,0,0,1.0,0
48.0,52881.0,0,1,1,21970.0,5,0.0,0,0,2,10.0,0
35.0,16039.0,1,0,1,4010.0,3,38690.0,2,0,3,10.0,0
50.0,114986.0,1,0,1,18000.0,3,19217.0,2,1,3,17.0,0
34.0,125301.0,0,0,0,17430.0,4,0.0,0,0,0,7.0,1
54.0,18755.0,1,0,1,8780.0,3,0.0,0,0,0,1.0,0
40.0,50815.0,0,1,1,18930.0,0,3295.0,1,0,2,1.0,1
44.0,43486.0,0,0,0,5900.0,3,0.0,0,0,0,10.0,0
37.0,107961.0,1,1,0,16970.0,5,2374.0,1,1,10,7.0,1
34.0,62978.0,0,0,1,11200.0,3,0.0,0,0,0,1.0,1
50.0,106952.0,0,1,0,18510.0,5,0.0,0,0,1,17.0,0
53.0,77100.0,0,0,1,18300.0,4,0.0,0,0,0,11.0,1
43.0,52642.0,1,0,1,22420.0,0,0.0,0,0,0,1.0,0
55.0,59162.0,1,1,0,17600.0,5,5028.0,2,1,3,9.0,0
53.0,130795.0,0,1,0,28340.0,1,0.0,0,0,3,10.0,1
35.0,21204.0,0,1,1,9230.0,2,0.0,0,1,0,4.0,0
45.0,0.0,1,0,1,6000.0,3,0.0,0,0,3,5.0,1
39.0,51884.0,0,0,1,10590.0,3,0.0,0,0,0,13.0,0
59.0,87460.0,0,1,1,15420.0,0,44857.0,2,0,4,1.0,1
42.0,59945.0,1,1,1,14190.0,0,0.0,0,0,0,16.0,0
34.0,34019.0,1,0,1,8300.0,3,0.0,0,0,0,20.0,0
31.0,18903.0,1,0,1,17330.0,0,0.0,0,0,0,7.0,0
28.0,44077.0,1,0,0,8710.0,3,8935.0,2,0,0,1.0,1
43.0,37214.0,1,1,0,26560.0,1,0.0,0,0,3,1.0,1
48.0,96274.0,1,0,1,11130.0,3,8250.0,1,0,5,14.0,0
47.0,46281.0,0,0,1,19700.0,0,0.0,0,0,1,5.0,0
44.0,0.0,1,0,1,5900.0,3,3338.0,3,0,0,11.0,0
60.0,37940.0,1,0,0,11290.0,4,0.0,0,0,0,1.0,1
33.0,79606.0,1,0,1,16830.0,3,0.0,0,0,2,15.0,0
32.0,31275.0,1,0,1,10030.0,3,0.0,0,0,0,1.0,1
44.0,45488.0,1,1,1,22090.0,0,0.0,0,0,0,12.0,0
35.0,72193.0,0,0,1,12220.0,3,0.0,0,0,3,12.0,0
