AGE,INCOME,MARRIED,GENDER,CAR_USE,CAR_VALUE,CAR_TYPE,PREV_CLAIMS_AMOUNT,PREV_CLAIMS_COUNT,REVOKED,POINTS,CAR_AGE,TARGET_CLAIM_MADE
60.0,67349.0,No,M,Private,14230.0,Minivan,4461.0,2,No,3,18.0,0
43.0,91449.0,No,M,Commercial,14940.0,Minivan,0.0,0,No,0,1.0,0
48.0,52881.0,No,M,Private,21970.0,Van,0.0,0,No,2,10.0,0
35.0,16039.0,Yes,F,Private,4010.0,SUV,38690.0,2,No,3,10.0,0
50.0,114986.0,Yes,F,Private,18000.0,SUV,19217.0,2,Yes,3,17.0,0
34.0,125301.0,No,F,Commercial,17430.0,Sports Car,0.0,0,No,0,7.0,1
54.0,18755.0,Yes,F,Private,8780.0,SUV,0.0,0,No,0,1.0,0
40.0,50815.0,No,M,Private,18930.0,Minivan,3295.0,1,No,2,1.0,1
44.0,43486.0,No,F,Commercial,5900.0,SUV,0.0,0,No,0,10.0,0
37.0,107961.0,Yes,M,Commercial,16970.0,Van,2374.0,1,Yes,10,7.0,1
34.0,62978.0,No,F,Private,11200.0,SUV,0.0,0,No,0,1.0,1
50.0,106952.0,No,M,Commercial,18510.0,Van,0.0,0,No,1,17.0,0
53.0,77100.0,No,F,Private,18300.0,Sports Car,0.0,0,No,0,11.0,1
43.0,52642.0,Yes,F,Private,22420.0,Minivan,0.0,0,No,0,1.0,0
55.0,59162.0,Yes,M,Commercial,17600.0,Van,5028.0,2,Yes,3,9.0,0
53.0,130795.0,No,M,Commercial,28340.0,Panel Truck,0.0,0,No,3,10.0,1
35.0,21204.0,No,M,Private,9230.0,Pickup,0.0,0,Yes,0,4.0,0
45.0,0.0,Yes,F,Private,6000.0,SUV,0.0,0,No,3,5.0,1
39.0,51884.0,No,F,Private,10590.0,SUV,0.0,0,No,0,13.0,0
59.0,87460.0,No,M,Private,15420.0,Minivan,44857.0,2,No,4,1.0,1
42.0,59945.0,Yes,M,Private,14190.0,Minivan,0.0,0,No,0,16.0,0
34.0,34019.0,Yes,F,Private,8300.0,SUV,0.0,0,No,0,20.0,0
31.0,18903.0,Yes,F,Private,17330.0,Minivan,0.0,0,No,0,7.0,0
28.0,44077.0,Yes,F,Commercial,8710.0,SUV,8935.0,2,No,0,1.0,1
43.0,37214.0,Yes,M,Commercial,26560.0,Panel Truck,0.0,0,No,3,1.0,1
48.0,96274.0,Yes,F,Private,11130.0,SUV,8250.0,1,No,5,14.0,0
47.0,46281.0,No,F,Private,19700.0,Minivan,0.0,0,No,1,5.0,0
44.0,0.0,Yes,F,Private,5900.0,SUV,3338.0,3,No,0,11.0,0
60.0,37940.0,Yes,F,Commercial,11290.0,Sports Car,0.0,0,No,0,1.0,1
33.0,79606.0,Yes,F,Private,16830.0,SUV,0.0,0,No,2,15.0,0
32.0,31275.0,Yes,F,Private,10030.0,SUV,0.0,0,No,0,1.0,1
44.0,45488.0,Yes,M,Private,22090.0,Minivan,0.0,0,No,0,12.0,0
35.0,72193.0,No,F,Private,12220.0,SUV,0.0,0,No,3,12.0,0
49.0,49244.0,Yes,M,Private,15880.0,Minivan,0.0,0,No,1,1.0,0
36.0,130540.0,No,F,Commercial,27200.0,Minivan,0.0,0,No,0,9.0,0
52.0,51278.0,Yes,F,Private,1500.0,SUV,0.0,0,No,1,10.0,0
41.0,92842.0,No,M,Commercial,25810.0,Panel Truck,1431.0,2,No,5,15.0,0
39.0,35081.0,Yes,M,Commercial,16640.0,Van,0.0,0,No,0,13.0,0
56.0,0.0,Yes,F,Private,13220.0,Minivan,0.0,0,No,0,12.0,0
49.0,115044.0,No,F,Private,17900.0,Minivan,0.0,0,No,0,14.0,0
38.0,37754.0,Yes,F,Private,12080.0,SUV,0.0,0,No,2,9.0,0
43.0,145353.0,Yes,F,Commercial,29450.0,Van,0.0,0,No,0,15.0,0
50.0,167469.0,No,F,Private,34150.0,Sports Car,0.0,0,No,3,1.0,0
63.0,121398.0,Yes,F,Private,16270.0,SUV,0.0,0,No,0,11.0,0
52.0,0.0,No,F,Commercial,9280.0,SUV,0.0,0,No,1,6.0,0
35.0,14508.0,Yes,M,Commercial,6450.0,Pickup,0.0,0,No,0,7.0,0
43.0,75338.0,Yes,F,Private,23080.0,Sports Car,0.0,0,No,0,8.0,0
41.0,32774.0,No,F,Private,20120.0,Minivan,0.0,0,No,0,1.0,0
40.0,57474.0,Yes,M,Commercial,29270.0,Panel Truck,0.0,0,No,1,5.0,0
31.0,26520.0,Yes,M,Commercial,4600.0,Minivan,0.0,0,No,2,5.0,0
53.0,107259.0,Yes,M,Private,29230.0,Minivan,0.0,0,No,0,15.0,0
39.0,34046.0,Yes,F,Private,4040.0,SUV,0.0,0,No,0,5.0,0
33.0,32364.0,Yes,M,Private,12270.0,Minivan,0.0,0,No,3,1.0,0
42.0,52988.0,Yes,M,Commercial,23450.0,Minivan,0.0,0,No,2,11.0,0
40.0,16989.0,No,M,Commercial,12230.0,Pickup,26104.0,1,Yes,13,6.0,1
41.0,17755.0,No,F,Private,14480.0,Minivan,0.0,0,Yes,2,1.0,0
36.0,56048.0,Yes,M,Private,10700.0,Minivan,2045.0,2,No,2,16.0,0
44.0,16352.0,Yes,F,Private,10520.0,SUV,7838.0,1,No,1,1.0,1
56.0,44760.0,Yes,M,Private,21770.0,Minivan,0.0,0,No,0,6.0,0
45.0,63952.0,Yes,F,Private,32340.0,Van,27877.0,2,Yes,0,13.0,1
34.0,22510.0,Yes,M,Private,14690.0,Minivan,0.0,0,Yes,0,1.0,1
44.0,24060.0,No,M,Private,14220.0,Minivan,0.0,0,No,0,10.0,1
33.0,20822.0,Yes,F,Private,6880.0,SUV,7896.0,3,No,0,1.0,1
32.0,54968.0,Yes,F,Private,10040.0,SUV,0.0,0,Yes,0,8.0,0
34.0,14194.0,No,F,Private,2920.0,Sports Car,24767.0,3,Yes,2,10.0,1
38.0,2149.0,Yes,F,Private,22690.0,Pickup,0.0,0,No,2,1.0,0
43.0,137103.0,No,F,Private,19510.0,Sports Car,8890.0,3,No,0,15.0,1
46.0,79538.0,No,F,Private,14050.0,Minivan,0.0,0,Yes,2,11.0,0
45.0,185836.0,Yes,F,Private,10250.0,SUV,4307.0,3,No,6,20.0,0
48.0,61509.0,Yes,M,Commercial,23230.0,Panel Truck,0.0,0,No,1,17.0,0
63.0,74426.0,No,F,Private,27600.0,SUV,0.0,0,No,0,18.0,0
44.0,74722.0,Yes,F,Private,23640.0,Minivan,0.0,0,No,0,1.0,0
45.0,102393.0,No,M,Private,1500.0,Minivan,0.0,0,No,2,11.0,1
62.0,40656.0,Yes,F,Private,9170.0,Sports Car,42342.0,2,Yes,2,7.0,1
35.0,29371.0,No,F,Private,4860.0,Sports Car,0.0,0,No,0,1.0,0
48.0,31773.0,Yes,M,Commercial,9640.0,Pickup,1212.0,1,No,4,1.0,1
39.0,33727.0,No,F,Private,10850.0,SUV,8350.0,1,No,2,12.0,0
49.0,0.0,Yes,F,Private,6400.0,SUV,9115.0,1,No,6,14.0,0
44.0,139330.0,No,F,Commercial,22050.0,Sports Car,0.0,0,No,0,1.0,0
50.0,163296.0,No,F,Private,22830.0,Minivan,0.0,0,No,0,14.0,0
30.0,17455.0,No,F,Private,12380.0,Minivan,0.0,0,No,0,6.0,0
54.0,71007.0,Yes,M,Private,14000.0,Minivan,0.0,0,No,0,11.0,0
38.0,0.0,Yes,M,Commercial,17470.0,Van,3157.0,2,No,5,6.0,0
53.0,38036.0,Yes,F,Commercial,13140.0,SUV,0.0,0,No,4,1.0,1
53.0,41199.0,No,F,Private,15360.0,SUV,0.0,0,No,0,8.0,0
29.0,38042.0,No,M,Private,15160.0,Minivan,0.0,0,No,0,1.0,0
55.0,45787.0,Yes,F,Private,19380.0,Minivan,0.0,0,No,0,13.0,0
55.0,84964.0,Yes,M,Commercial,5760.0,Pickup,969.0,2,No,6,11.0,0
39.0,0.0,Yes,F,Private,8750.0,Sports Car,0.0,0,No,0,8.0,0
44.0,142588.0,Yes,M,Private,21790.0,Minivan,0.0,0,No,2,9.0,0
34.0,51565.0,No,M,Private,18110.0,Van,759.0,2,No,3,15.0,0
34.0,0.0,Yes,F,Private,11740.0,SUV,1800.0,2,No,2,1.0,1
36.0,105384.0,Yes,M,Private,13800.0,Minivan,31695.0,3,Yes,4,17.0,0
41.0,66265.0,Yes,M,Private,12230.0,Minivan,0.0,0,No,1,9.0,1
45.0,32394.0,No,F,Private,13770.0,SUV,0.0,0,No,0,1.0,0
42.0,76226.0,Yes,M,Commercial,23390.0,Panel Truck,0.0,0,No,0,14.0,0
38.0,7528.0,Yes,M,Private,8080.0,Pickup,0.0,0,No,0,8.0,0
33.0,0.0,No,M,Commercial,15090.0,Minivan,1631.0,1,No,2,5.0,1
42.0,32797.0,Yes,F,Private,21690.0,Minivan,0.0,0,No,2,14.0,0
47.0,44705.0,Yes,F,Private,12840.0,SUV,1533.0,2,No,0,10.0,1
43.0,0.0,Yes,F,Private,8350.0,SUV,0.0,0,No,3,7.0,0
52.0,68992.0,No,F,Commercial,15120.0,Minivan,0.0,0,No,3,10.0,0
43.0,132561.0,No,M,Commercial,30150.0,Panel Truck,12294.0,1,No,0,1.0,0
64.0,31738.0,Yes,M,Commercial,14620.0,SUV,3994.0,2,No,0,1.0,1
66.0,96830.0,Yes,M,Private,11180.0,SUV,0.0,0,No,0,16.0,0
60.0,125893.0,No,M,Commercial,7500.0,Pickup,7278.0,2,No,4,15.0,0
35.0,154577.0,No,F,Private,20450.0,SUV,4645.0,1,No,3,1.0,0
52.0,64014.0,Yes,M,Commercial,7900.0,Pickup,8882.0,3,No,1,5.0,1
52.0,79348.0,Yes,F,Private,13150.0,SUV,0.0,0,No,2,1.0,0
55.0,108152.0,Yes,F,Private,12320.0,SUV,0.0,0,Yes,0,15.0,0
26.0,53244.0,No,M,Commercial,20920.0,Van,6224.0,1,No,1,8.0,1
61.0,41857.0,Yes,F,Private,20870.0,Sports Car,0.0,0,No,0,21.0,0
41.0,126468.0,No,F,Commercial,32690.0,Pickup,0.0,0,No,2,18.0,1
40.0,75516.0,Yes,F,Commercial,13050.0,Sports Car,0.0,0,Yes,0,6.0,0
52.0,76954.0,No,M,Private,19540.0,Minivan,0.0,0,Yes,0,11.0,0
58.0,150352.0,Yes,F,Private,24240.0,Pickup,0.0,0,No,0,17.0,0
52.0,88560.0,Yes,M,Private,13630.0,Minivan,0.0,0,No,4,17.0,0
38.0,37580.0,Yes,F,Private,5260.0,SUV,867.0,2,No,0,1.0,1
41.0,23344.0,Yes,M,Private,7930.0,Pickup,0.0,0,No,1,1.0,1
37.0,43290.0,Yes,F,Private,23640.0,SUV,0.0,0,No,0,10.0,0
48.0,48737.0,Yes,M,Private,11220.0,Pickup,0.0,0,No,1,1.0,0
47.0,64259.0,Yes,M,Private,25100.0,Minivan,9526.0,4,No,3,9.0,0
41.0,110386.0,Yes,M,Commercial,16640.0,Van,0.0,0,No,2,14.0,1
49.0,53765.0,No,F,Private,12360.0,SUV,0.0,0,No,0,1.0,0
41.0,12541.0,No,M,Private,7500.0,Minivan,0.0,0,No,0,1.0,0
47.0,104271.0,Yes,M,Commercial,36120.0,Panel Truck,0.0,0,No,0,11.0,0
30.0,26226.0,Yes,F,Private,23610.0,SUV,0.0,0,No,1,1.0,0
44.0,67278.0,Yes,F,Private,20210.0,Minivan,0.0,0,No,0,16.0,0
46.0,104990.0,No,F,Private,16080.0,SUV,0.0,0,No,0,7.0,0
